Transaction_ID,Date,Customer_ID,Product_ID,Total_Cost,Sales_Channel,Order_Priority,Warehouse_Code,Ship_Mode,Delivery_Status,Customer_Satisfaction,Item_Returned,Return_Reason,Payment_Type,Taxable,Region,Country
200,2020-01-01 20:32:25.945945945,1086,536,8265.37454940804,Online,High,WH-3,2-Day,Cancelled,Neutral,False,Wrong Item,Wire Transfer,False,West,Canada
321,2020-01-02 06:55:08.108108108,1078,523,4047.8504787607,Reseller,Critical,WH-1,Overnight,Backorder,Satisfied,True,Damaged,PayPal,True,South,Mexico
989,2020-01-06 08:12:58.378378378,1077,535,5096.553818483975,Direct,Critical,WH-1,Overnight,Pending,Unsatisfied,True,Damaged,PayPal,True,West,Canada
682,2020-01-07 22:03:14.594594594,1027,546,8194.281992877543,Reseller,Medium,WH-1,Express,Pending,Unsatisfied,False,Wrong Item,Cash,True,South,Canada
484,2020-01-07 07:08:06.486486486,1052,556,8331.32924886882,Direct,Low,WH-2,2-Day,Delivered,Satisfied,True,Late,Cash,False,South,Mexico
483,2020-01-01 21:11:21.081081081,1074,549,6894.375243656562,Reseller,Medium,WH-3,2-Day,Backorder,Unsatisfied,True,Not Specified,PayPal,False,South,USA
757,2020-01-01 21:11:21.081081081,1061,547,4611.329101247279,Direct,Critical,WH-3,Express,Cancelled,Neutral,False,Late,Credit Card,True,South,Canada
985,2020-01-06 00:25:56.756756756,1040,542,7623.669347238553,Direct,Critical,WH-2,Overnight,Delivered,Neutral,True,Not Specified,Credit Card,False,North,Canada
795,2020-01-08 03:53:30.810810810,1014,533,6194.880826757808,Direct,Medium,WH-1,Express,Delivered,Neutral,True,Late,PayPal,False,East,Mexico
459,2020-01-06 22:16:12.972972973,1040,529,5933.960843694132,Partner,Critical,WH-3,Overnight,Pending,Unsatisfied,True,Late,Credit Card,False,South,USA
826,2020-01-02 04:32:25.945945945,1039,521,4697.420195618569,Reseller,Medium,WH-2,Overnight,Delivered,Unsatisfied,False,Wrong Item,Cash,True,East,Canada
116,2020-01-07 12:32:25.945945946,1080,535,5350.517195865819,Direct,Critical,WH-2,Regular,Cancelled,Satisfied,False,Not Specified,Cash,True,East,Canada
417,2020-01-06 05:11:21.081081081,1076,555,980.913486556204,Partner,High,WH-3,Express,Backorder,Unsatisfied,False,Damaged,Credit Card,True,West,Canada
367,2020-01-08 22:16:12.972972973,1097,524,5943.900905880649,Partner,Critical,WH-3,Express,Delivered,Unsatisfied,False,Wrong Item,Credit Card,False,East,Canada
233,2020-01-05 13:11:21.081081081,1070,508,6757.282871927786,Reseller,Medium,WH-1,Overnight,Delivered,Unsatisfied,True,Late,Credit Card,False,North,Mexico
191,2020-01-05 23:34:03.243243243,1099,546,4743.788008955943,Partner,Medium,WH-1,Regular,Pending,Satisfied,True,Late,PayPal,False,North,USA
891,2020-01-06 22:29:11.351351351,1056,523,5013.353792234297,Direct,High,WH-2,Regular,Cancelled,Neutral,False,Damaged,Wire Transfer,False,West,Canada
770,2020-01-05 17:17:50.270270270,1021,510,9438.36161081244,Direct,Medium,WH-1,2-Day,Delivered,Neutral,True,Late,Credit Card,False,North,Canada
387,2020-01-07 01:17:50.270270270,1036,515,7036.432792204224,Online,High,WH-1,Express,Backorder,Neutral,True,Wrong Item,Credit Card,False,South,Canada
641,2020-01-02 09:04:51.891891891,1099,549,6980.821047923439,Direct,Low,WH-1,Express,Cancelled,Unsatisfied,False,Damaged,Credit Card,True,West,USA
278,2020-01-02 00:12:58.378378378,1020,542,5034.828782162813,Partner,Low,WH-1,Regular,Pending,Satisfied,False,Late,Cash,True,North,Mexico
649,2020-01-02 23:21:04.864864864,1096,535,7657.985051266169,Partner,Low,WH-3,Overnight,Backorder,Satisfied,False,Damaged,Cash,True,South,Mexico
599,2020-01-06 21:50:16.216216216,1046,548,3755.9437915651183,Reseller,High,WH-1,Overnight,Delivered,Unsatisfied,False,Late,Credit Card,True,West,Canada
516,2020-01-08 01:30:48.648648648,1026,520,881.3191613109819,Reseller,Low,WH-3,Express,Delivered,Neutral,False,Damaged,PayPal,False,West,Mexico
